化学式,dHmix,dSmix,dGmix,电子数差,原子尺寸差,电子浓度,元素种类,密度,熔点
AlMo0.5NbTa0.5TiZr,-16.84,14.53,560.6278523,0.22,4.34,4.3,5,7.15,2169.09
Al0.5CoCrCuFeNi,-1.52,14.7,437.30038,0.11,3.82,8.27,6,7.62,1693
Nb42Mo20Ti13Cr12V12Ta1,-4.2436,12.52475172,609.4889242,0.276687839,4.591778618,5.41,6,8.379820089,2339.92739
AlNbTiVZr,-17.44,13.38,515.8708658,0.11,5.53,4.2,5,5.76,1987.09
Mo0.5NbHf0.5ZrTiSi0.9,-39.45022907,14.55068902,526.8532776,0.270411629,10.63629522,4.408163265,6,6.84348575,2038.669501
AlCr1.5NbTiV,-13.75206612,13.2546386,437.0693929,0.040696417,6.288154515,4.727272727,5,5.86780852,1682.737057
CoCrNi,-4.89,9.13,499.23715,0.11,1.12,8.33,3,8.28,1892
Ni45(FeCoCr)40(AlTi)15,-14.63666667,12.91925854,378.8816252,0.12911663,5.631744257,8.091666667,6,7.432029989,1456.840901
HfNbTaTiZr,2.72,13.38,655.02398,0.12,4.01,4.4,5,9.9,2523
CoCrFeNi,-3.75,11.53,489.4027225,0.1,1.03,8.25,4,8.17,1871.75
CoCrFeNi,-3.75,11.53,489.4027225,0.1,1.03,8.25,4,8.17,1871.75
Al0.3CoCrFeNi,-7.27,12.83,469.9351993,0.11,3.49,7.88,5,7.64,1806.29
AlNbTiV,-16.25,11.53,510.3391989,0.03,3.3,4.25,4,5.5,1951.87
Fe36Ni18Mn33Al13Ti4,-11.8635355,11.80885555,342.0813631,0.149505967,5.723897154,7.25,5,6.861238055,1309.742822
AlCoCrFeNi,-12.32,13.38,437.2111258,0.12,5.25,7.2,5,6.72,1684.09
Hf0.5Mo0.5NbTiZr,-0.25,12.96707842,546.8122337,0.258988417,5.730437906,4.5,5,7.889823331,2102.85867
MoNbHf1.5ZrTi,-2.644628099,13.2546386,558.7155823,0.306386565,6.040284007,4.545454545,5,9.178313444,2151.022925
MoNbTaTiV,-2.56,13.38,678.12488,0.24,3.34,5,5,9.37,2612
CoCrFeNi,-3.75,11.53,489.4027225,0.1,1.03,8.25,4,8.17,1871.75
AlCoCrFeNi,-12.32,13.38,437.2111258,0.12,5.25,7.2,5,6.72,1684.09
Al0.5CoFeNi,-9.469387755,11.23935679,359.9488094,0.097079811,5.123177534,8.142857143,4,7.387194216,1375.142857
Ti45Zr25Nb25Ta5,2.14,9.996163975,519.9081231,0.10219956,4.583851177,4.3,4,6.661832874,1976.8
Al85.4Mg10Zn2Cu2Si0.6,-1.203718853,4.581574318,175.7208702,0.103531114,4.205199849,3.245264207,4,2.755365447,654.6572705
AlCr1.5NbTiV,-13.75206612,13.2546386,437.0693929,0.040696417,6.288154515,4.727272727,5,5.86780852,1682.737057
Cr1.25Cu0.75MnFeNi,1.52,13.27656913,366.5473153,0.140484875,3.225328437,8.15,5,7.960005317,1411.292751
AlNbTiVZr,-17.44,13.38,515.8708658,0.11,5.53,4.2,5,5.76,1987.09
V10Cr10Fe45Co30Ni5,-4.9,11.06508518,411.0116893,0.087384209,1.724828537,7.9,5,7.930370606,1569.155413
CoCrNi,-4.89,9.13,499.23715,0.11,1.12,8.33,3,8.28,1892
Mo0.5NbTiVZr,-1.777777778,13.14594406,534.0179899,0.228089218,6.969406971,4.666666667,5,6.832962954,2055.075745
Co10Cr10Fe50Mn30,-0.92,9.713640154,388.6624044,0.132075736,3.833181374,7.6,4,7.760129907,1476.2
AlCoCrCuFeNi,-4.78,14.9,420.623371,0.12,4.82,7.83,6,7.07,1629.71
AlHfNbTiZr,-19.36,13.38161053,473.9272514,0.133955216,4.968270135,4,5,7.439877924,1825.551003
Fe36Co21Cr18Ni15Al10,-7.5744,12.62984004,379.8481044,0.103058187,4.429915505,7.65,5,7.372379037,1458.906346
Fe34Cr34Ni14Al14Co4,-7.5744,12.62984004,379.8481044,0.103058187,4.429915505,7.65,5,7.372379037,1458.906346
HfNbTaTiZr,2.72,13.38,655.02398,0.12,4.01,4.4,5,9.9,2523
Al9.5Co25Cr8Fe15Ni36Ti6Hf0.5,-14.2653,13.46867203,366.4755972,0.126940685,5.828183,8.075,7,7.474871348,1412.121864
CrMoNbTiW,-7.04,13.38161053,622.7562125,0.355662762,7.65394798,5,5,10.77298381,2398.764023
Fe36Ni18Mn33Al13Ti2,-10.87543253,11.46079052,341.2440474,0.148891199,5.55053626,7.31372549,5,6.924875452,1304.794503
CoCrFeMnNi,-4.16,13.38,467.623384,0.14,0.92,8,5,8.03,1801.2
AlCoCrFeNi,-12.32,13.38,437.2111258,0.12,5.25,7.2,5,6.72,1684.09
CoCrFeMnNi,-4.16,13.38,467.623384,0.14,0.92,8,5,8.03,1801.2
AlCoCrCuFeNi,-4.78,14.9,420.623371,0.12,4.82,7.83,6,7.07,1629.71
Al0.5CoCrCuFeNi,-1.52,14.7,437.30038,0.11,3.82,8.27,6,7.62,1693
Fe18.4Co18.4Ni18.4Cr18.4Mn18.4Al8,-8.290304,14.62889906,366.2250966,0.13929684,4.66829647,7.6,6,7.436712419,1417.470396
Fe40.4Ni11.3Mn34.8Al7.5Cr6C1.1,-8.1781746,11.54335869,355.5740424,0.165555851,6.453990904,7.346191889,6,7.21529413,1360.004545
Al0.5CoCrFeNi,-9.09,13.15,459.275785,0.11,4.22,7.67,5,7.33,1767.5
Al7(HfNbTiZr)93,-8.5281,12.8283229,515.9997301,0.132166181,4.93564939,4.1625,5,8.078781404,1983.337556
CoCrFeNi,-3.75,11.53,489.4027225,0.1,1.03,8.25,4,8.17,1871.75
AlCoCrFeNi,-12.32,13.38,437.2111258,0.12,5.25,7.2,5,6.72,1684.09
Fe28Ni18Mn33Al21,-13.4844,11.29676653,324.7052707,0.14752071,5.708363976,6.98,4,6.482580111,1240.79
Fe40.4Ni11.3Mn34.8Al7.5Cr6C1.1,-8.1781746,11.54335869,355.5740424,0.165555851,6.453990904,7.346191889,6,7.21529413,1360.004545
