化学式,dHmix,dSmix,dGmix,电子数差,原子尺寸差,电子浓度,元素种类,密度,熔点,硬度
NbTaTi30Zr,2.364444444,11.47306725,576.6866863,0.097662116,4.690570866,4.466666667,4,8.657564412,2205.066667,12.02512774
NbTaTi35Zr,2.224444444,11.3205112,566.8348878,0.094799643,4.534353886,4.433333333,4,8.386262973,2166.133333,12.41385657
NbTaTi40Zr,2.08,11.07635214,557.1660637,0.09173876,4.37030807,4.4,4,8.111704994,2127.2,12.78227012
NbTaTi45Zr,1.931111111,10.74540772,547.6594544,0.088458873,4.197504306,4.366666667,4,7.83383149,2088.266667,13.13978503
NbTaTiZr,2.5,11.52629192,586.7495009,0.100343161,4.839726937,4.5,4,8.925666912,2244,11.60536229
NbTaTiZr,2.5,11.52629192,586.7495009,0.100343161,4.839726937,4.5,4,8.925666912,2244,11.60536229
NbTiV0.3Zr,1.432506887,10.83685823,520.1172171,0.117480436,6.004910204,4.393939394,4,6.524809509,1983.939394,17.07479244
NbTiV2Zr,-0.96,11.07635214,511.2740006,0.112889326,7.480507608,4.6,4,6.411901676,1952,25.67348434
NbTiV2Zr,-3.52,11.07635214,519.0767653,0.273890489,7.746075475,4.8,4,6.655937237,1981.8,7.095630755
NbTiV5Zr,-1.6875,8.925931309,509.3311725,0.098075226,7.187440703,4.75,4,6.313940928,1928.75,11.64681964
NbTiVZr,-0.25,11.53,588.437985,0.12,6.03,4.5,4,6.46,2250.5,103.76
NbTiVZr,-0.25,11.53,588.437985,0.12,6.03,4.5,4,6.46,2250.5,103.76
NbTiVZr,-0.25,11.53,588.437985,0.12,6.03,4.5,4,6.46,2250.5,103.76
NbTiVZr,-0.25,11.53,588.437985,0.12,6.03,4.5,4,6.46,2250.5,103.76
NbTiZr,3.111111111,9.134370237,626.5960266,0.041096093,1.064065164,4.666666667,3,9.975229265,2374.666667,7.774115706
NbTiZr,3.111111111,9.134370237,626.5960266,0.041096093,1.064065164,4.666666667,3,9.975229265,2374.666667,7.774115706
NbTiZr,3.111111111,9.134370237,626.5960266,0.041096093,1.064065164,4.666666667,3,9.975229265,2374.666667,7.774115706
NbTiZr,3.111111111,9.134370237,626.5960266,0.041096093,1.064065164,4.666666667,3,9.975229265,2374.666667,7.774115706
NbTiZr,3.111111111,9.134370237,626.5960266,0.041096093,1.064065164,4.666666667,3,9.975229265,2374.666667,7.774115706
Ni14Fe20Cr26Co20Mn20,-3.7232,13.22962036,391.7481361,0.135458481,3.262141651,7.76,5,7.924909869,1508.06978,6.329195708
Ni14Fe20Cr26Co20Mn20,-3.7232,13.22962036,391.7481361,0.135458481,3.262141651,7.76,5,7.924909869,1508.06978,6.329195708
Ni18.5Fe18.5Cr18.5Co26Mn18.5,-4.1144,13.29411604,386.8108101,0.136417732,3.165958789,8.075,5,8.08813992,1489.434581,5.695120543
Ni30Co30Cr10Fe10Al18W2,-12.4432,13.05208317,365.6450006,0.140858085,5.590999885,7.76,6,7.39262667,1406.656565,1.762004548
Ni45(FeCoCr)40(AlTi)15,-14.63666667,12.91925854,378.8816252,0.12911663,5.631744257,8.091666667,6,7.432029989,1456.840901,1.527000664
Ni45(FeCoCr)40(AlTi)15,-14.63666667,12.91925854,378.8816252,0.12911663,5.631744257,8.091666667,6,7.432029989,1456.840901,1.527000664
Ni45(FeCoCr)40(AlTi)15,-14.63666667,12.91925854,378.8816252,0.12911663,5.631744257,8.091666667,6,7.432029989,1456.840901,1.527000664
Ni45(FeCoCr)40(AlTi)15,-14.63666667,12.91925854,378.8816252,0.12911663,5.631744257,8.091666667,6,7.432029989,1456.840901,1.527000664
Ni45(FeCoCr)40(AlTi)15,-14.63666667,12.91925854,378.8816252,0.12911663,5.631744257,8.091666667,6,7.432029989,1456.840901,1.527000664
Ni45(FeCoCr)40(AlTi)15,-14.63666667,12.91925854,378.8816252,0.12911663,5.631744257,8.091666667,6,7.432029989,1456.840901,1.527000664
Ni46Co22Al12Cr8Fe8Ti3Mo1,-13.03169786,12.47259103,442.1775343,0.11814667,5.45784,8.24,7,7.453086934,1697.29,1.484127103
NiFeCrCoMn,-4.16,13.38,467.623384,0.14,0.92,8,5,8.03,1801.2,5.79
NiFeCrCoMn,-4.16,13.38,467.623384,0.14,0.92,8,5,8.03,1801.2,5.79
Re10Nb30Ti30Zr30,-8.16,10.92382327,553.4967252,0.164890873,5.42081242,4.6,4,7.668517459,2112,3.193009447
Re10Nb30Ti30Zr30,-8.16,10.92382327,553.4967252,0.164890873,5.42081242,4.6,4,7.668517459,2112,3.193009447
Re10Nb30Ti30Zr30,-8.16,10.92382327,553.4967252,0.164890873,5.42081242,4.6,4,7.668517459,2112,3.193009447
Ta0.4ZrHfTi,1.799307958,11.07132439,581.3910137,0.105538658,4.652904584,4.294117647,4,10.97780806,2219.647059,15.33843318
Ta0.5ZrHfTi,1.795918367,11.23935679,578.2684512,0.105424313,4.708270791,4.285714286,4,10.8281302,2209.142857,15.5348793
Ta0.6ZrHfTi,1.790123457,11.35814929,575.4103625,0.105240759,4.752695773,4.277777778,4,10.68815608,2199.222222,15.68694757
Ta10Nb30Ti30Zr30,2.64,10.92382327,548.6853236,0.109859001,4.991703425,4.4,4,7.491418361,2093.6,9.793166188
Ta10Nb30Ti30Zr30,2.64,10.92382327,548.6853236,0.109859001,4.991703425,4.4,4,7.491418361,2093.6,9.793166188
Ti1.89CrNbV0.56,-4.089746244,10.77141625,502.1076667,0.048822023,6.319443553,4.8,4,6.184842846,1914.786517,5.762502989
Ti1.89CrNbV0.56,-4.089746244,10.77141625,502.1076667,0.048822023,6.319443553,4.8,4,6.184842846,1914.786517,5.762502989
Ti25Zr25Nb25Ta25,2.5,11.52629192,586.7495009,0.100343161,4.839726937,4.5,4,8.925666912,2244,11.60536229
Ti2ZrHf0.5V,-1.777777778,10.58454586,474.5036779,0.123107902,6.956581546,4.222222222,4,6.52433557,1808.222222,12.3920886
Ti2ZrHf0.5V,-1.777777778,10.58454586,474.5036779,0.123107902,6.956581546,4.222222222,4,6.52433557,1808.222222,12.3920886
Ti2ZrHf0.5VNb,0.52892562,12.60229632,513.4386746,0.119627521,6.436207738,4.363636364,5,6.887990805,1971.746058,53.48737946
Ti2ZrHf0.5VNb,0.52892562,12.60229632,513.4386746,0.119627521,6.436207738,4.363636364,5,6.887990805,1971.746058,53.48737946
Ti2ZrHf0.5VNb0.25,-1.019390582,11.74184049,495.3262273,0.122467702,6.815842839,4.263157895,5,6.6292353,1895.930246,24.98452969
Ti2ZrHf0.5VNb0.5,-0.4,12.22898133,501.632141,0.12163881,6.682543255,4.3,4,6.72390148,1923.651423,67.16160897
Ti2ZrHf0.5VNb0.5,-0.4,12.22898133,501.632141,0.12163881,6.682543255,4.3,4,6.72390148,1923.651423,67.16160897
Ti2ZrHf0.5VNb0.5,-0.4,12.22898133,501.632141,0.12163881,6.682543255,4.3,4,6.72390148,1923.651423,67.16160897
Ti30Zr20Ni30Co10Cu10,-33.2,12.51150515,402.3982511,0.23471046,10.20926813,7,5,6.705104011,1544.910655,0.685140821
Ti30Zr25Nb25Ta20,2.44,11.44258394,569.4652462,0.100869966,4.780298313,4.45,4,8.362092405,2177.2,11.49112113
Ti35Zr27.5Hf27.5Nb5Ta5,-10.245,11.44944891,532.6473123,0.114716771,4.495453867,4.1,5,8.493765586,2036.537698,2.581225116
Ti40Zr25Nb25Ta10,2.26,10.72500744,535.9874348,0.101797593,4.65247045,4.35,4,7.2301821,2043.6,10.99431902
TiZrHfCr0.2Mo,-4.444444444,12.56917544,542.8538517,0.338068409,7.254736767,4.571428571,5,8.686830363,2084.462533,6.667480249
TiZrNbMo,-3.2,13.38161053,558.4887336,0.309554519,6.097271121,4.6,4,8.702267947,2151.20329,10.13804735
TiZrNbMoV,-2.72,13.38161053,548.4427053,0.274765354,6.853413663,4.8,5,7.132233447,2112.506076,11.73673546
TiZrNbMoV0.75,-2.703601108,13.33280622,550.8012936,0.281855742,6.727569386,4.789473684,5,7.173980851,2121.192089,11.80769567
TiZrNbMoV2,-2.666666667,12.97646755,541.7397429,0.250959271,7.071199247,4.833333333,5,6.993560446,2083.436081,11.46756105
TiZrNbTa,2.5,11.53,660.73719,3.92,3.75,4.5,4,,2527,11.65
TiZrNbV,-0.25,11.52629192,514.4492706,0.117153745,7.048397669,4.5,4,6.46945509,1967.5,103.305544
TiZrNbVMo2.0,-4.777777778,12.97646755,571.5597992,0.314253967,6.581670059,5,5,7.595944062,2198.126345,6.711998501
V10Cr10Fe45Co20Ni15,-5.36,11.85892612,408.475666,0.090138782,1.732527204,8,5,7.930000747,1564.215923,4.065146781
V10Cr10Fe45Co20Ni15,-5.36,11.85892612,408.475666,0.090138782,1.732527204,8,5,7.930000747,1564.215923,4.065146781
V10Cr10Fe45Co30Ni5,-4.9,11.06508518,411.0116893,0.087384209,1.724828537,7.9,5,7.930370606,1569.155413,4.160258434
V10Cr10Fe45Co35Ni0,-4.67,9.87162138,418.0273851,0.085934568,1.720623695,7.85,4,7.93055543,1588.7,3.935648451
V10Cr15Mn5Fe35Co10Ni25,-6.26,13.37699643,403.4622915,0.113643082,2.403624139,7.95,6,7.871764882,1554.05548,3.904556099
V10Cr15Mn5Fe35Co10Ni25,-6.26,13.37699643,403.4622915,0.113643082,2.403624139,7.95,6,7.871764882,1554.05548,3.904556099
V10Cr15Mn5Fe35Co10Ni25,-6.26,13.37699643,403.4622915,0.113643082,2.403624139,7.95,6,7.871764882,1554.05548,3.904556099
V10Cr15Mn5Fe35Co10Ni25,-6.26,13.37699643,403.4622915,0.113643082,2.403624139,7.95,6,7.871764882,1554.05548,3.904556099
V10Cr15Mn5Fe35Co10Ni25,-6.26,13.37699643,403.4622915,0.113643082,2.403624139,7.95,6,7.871764882,1554.05548,3.904556099
V10Cr15Mn5Fe35Co10Ni25,-6.26,13.37699643,403.4622915,0.113643082,2.403624139,7.95,6,7.871764882,1554.05548,3.904556099
V10Cr15Mn5Fe35Co10Ni25,-6.26,13.37699643,403.4622915,0.113643082,2.403624139,7.95,6,7.871764882,1554.05548,3.904556099
V10Cr15Mn5Fe35Co10Ni25,-6.26,13.37699643,403.4622915,0.113643082,2.403624139,7.95,6,7.871764882,1554.05548,3.904556099
